AST Calving CK Daysrec Inflamat Myopathy Outcome PCV Urea 
121 1 1385 0 NA NA 0 NA 3 
156 0 4560 1 1 NA 0 33 33.6 
332 1 5080 0 1 NA 1 37 4.6 
492 1 5980 4 1 0 0 40 4.1 
572 1 4120 2 0 0 0 46 12 
584 1 2040 2 NA 0 1 27 8.3 
303 1 1425 0 0 NA 0 19 5.1 
700 1 2540 5 1 1 0 38 5.5 
462 1 4440 2 1 0 1 35 10 
336 1 1320 0 1 NA 0 46 17.6 
76 1 133 0 NA NA 1 NA 9.5 
287 1 1220 1 0 NA 1 39 6.1 
470 1 1640 1 NA NA 0 20 9.9 
990 1 14080 1 NA 1 0 41 8.2 
160 1 153 0 NA NA 1 NA 10.7 
124 1 434 3 NA 0 1 NA 6.6 
152 1 4800 0 NA NA 0 35 12.1 
76 1 332 1 0 NA 1 42 8.7 
155 1 251 0 NA NA 1 33 5.5 
101 1 487 0 NA NA 1 35 8.3 
129 1 1530 2 NA 0 1 NA 5.7 
40 1 158 0 NA NA 1 NA 5.4 
860 1 13960 4 1 1 0 39 7.2 
960 1 30480 2 1 1 0 43 15 
126 1 746 0 NA NA 1 NA 4.9 
126 1 474 4 0 0 1 39 4.9 
365 1 8570 1 1 NA 0 46 17.5 
1300 1 28660 1 NA 1 0 44 17 
1020 1 5560 2 1 1 1 35 4.8 
290 1 7440 0 1 NA 0 39 21.3 
255 1 2540 1 1 NA 0 NA 7.8 
87 1 1125 0 1 NA 0 30 6.4 
247 1 2140 4 1 0 1 39 9.3 
47 1 400 2 NA 0 0 42 24.8 
NA 1 NA 0 NA NA 1 NA NA 
305 1 4600 1 0 NA 0 48 10.5 
860 1 382 0 0 1 0 41 15.1 
2080 1 8140 0 NA 1 0 NA 20.7 
322 1 15660 1 NA 1 0 NA 24.8 
231 1 3490 1 0 NA 0 34 16.3 
50 1 286 1 1 NA 0 29 4.8 
1240 1 27160 2 1 1 0 38 19.7 
83 1 242 0 NA NA 1 NA 7.3 
93 1 36 2 NA 0 0 13 8.4 
139 1 1120 2 1 0 0 32 5.7 
260 0 5400 0 NA NA 0 19 9.1 
103 1 375 0 NA NA 1 NA 8.3 
920 1 8880 7 NA 1 0 NA 5.1 
1160 1 26560 4 1 1 0 33 39 
185 1 1280 3 NA 0 1 NA 6.2 
242 1 1000 6 NA 0 1 NA 3.4 
383 1 845 1 NA NA 0 43 5.7 
62 1 1660 0 NA NA 1 NA 4.8 
80 1 1740 0 NA NA 0 NA 39.8 
339 1 1700 2 1 0 1 26 4.8 
480 0 4760 2 NA 0 1 NA 5.4 
52 0 119 0 1 NA 1 37 5.1 
162 1 316 0 1 NA 1 37 9.7 
NA 0 NA 0 NA NA 0 NA NA 
258 0 784 0 0 NA 0 21 9.2 
2080 1 34960 3 1 1 0 39 7.9 
169 1 493 6 1 0 0 32 5.4 
133 1 1507 0 0 NA 0 41 8.4 
48 1 53 1 0 NA 1 27 7.2 
353 1 998 1 NA 0 0 34 6.2 
94 1 1012 0 NA NA 0 NA 5.8 
69 1 167 0 NA NA 1 NA 6 
73 0 250 0 NA NA 0 35 9.6 
1400 1 9800 1 NA 1 0 NA NA 
626 1 911 7 NA 0 1 NA NA 
200 NA NA 10 NA NA 1 NA NA 
1400 0 9700 3 NA 1 0 NA NA 
733 1 20000 2 NA 1 0 NA NA 
103 0 612 1 NA NA 0 NA NA 
347 1 5987 2 NA 0 0 NA NA 
1100 0 9960 1 NA 1 0 NA NA 
53 0 195 1 NA NA 1 NA NA 
773 0 27659 1 NA 1 0 NA NA 
600 0 14000 2 NA 1 1 NA NA 
73 0 130 0 NA NA 0 NA NA 
490 NA 9000 0 NA NA 0 NA NA 
1066 NA 22900 3 NA 1 0 NA NA 
250 0 2930 0 NA NA 1 NA NA 
60 1 117 0 NA NA 1 NA NA 
2266 0 45800 1 NA 1 0 NA NA 
1600 0 31000 1 NA 1 0 NA NA 
267 1 1760 0 NA NA 1 NA NA 
1300 0 37000 1 NA 1 0 NA NA 
233 1 650 3 NA 0 0 NA NA 
2066 1 22000 5 NA 1 0 NA NA 
193 0 325 1 NA NA 0 NA NA 
333 1 3775 2 NA 0 1 NA NA 
633 0 7289 4 NA 1 0 NA NA 
800 1 10870 5 NA 1 0 NA NA 
367 0 1890 1 NA NA 1 NA NA 
900 1 6380 1 NA 1 0 NA NA 
193 1 521 1 NA NA 0 NA NA 
467 1 2670 1 NA NA 1 NA NA 
633 0 1300 1 NA NA 1 NA NA 
800 0 11980 1 NA 1 0 NA NA 
600 0 1497 7 NA 0 1 NA NA 
400 0 1040 7 NA 0 1 NA NA 
167 0 553 0 NA NA 1 NA NA 
367 0 2538 0 NA NA 0 NA NA 
1470 1 5400 3 NA 1 0 NA NA 
390 1 3970 6 NA 0 1 NA NA 
200 0 514 1 NA NA 1 NA NA 
410 0 8720 3 NA 0 0 NA NA 
60 1 137 1 NA NA 0 NA NA 
203 0 5730 2 NA 0 0 NA NA 
1143 NA 10280 3 NA 1 0 NA NA 
70 0 208 0 NA NA 1 NA NA 
180 1 1690 3 NA 0 0 NA NA 
273 0 976 1 NA NA 0 NA NA 
1033 1 4360 2 NA 1 0 NA NA 
223 0 1100 3 NA 0 0 NA NA 
400 1 13670 2 NA 1 0 NA NA 
600 1 2990 1 NA NA 1 NA NA 
1170 1 13930 1 NA 1 0 NA NA 
267 0 260 5 NA 0 0 NA NA 
233 0 1150 5 NA 0 0 NA NA 
167 0 NA 10 NA NA 0 NA NA 
167 0 781 4 NA 0 1 NA NA 
420 1 1237 3 NA 0 1 NA NA 
67 1 78 0 NA NA 1 NA NA 
323 1 1562 1 NA NA 1 NA NA 
63 1 78 1 NA NA 1 NA NA 
183 1 325 7 NA 0 1 NA NA 
100 1 65 0 NA NA 1 NA NA 
230 0 846 1 NA NA 0 NA NA 
567 0 9957 2 NA 0 0 NA NA 
200 0 260 0 NA NA 1 NA NA 
400 1 5792 0 NA NA 0 NA NA 
317 1 6960 3 NA 0 1 NA NA 
183 1 2930 4 NA 0 0 NA NA 
183 0 1760 3 NA 0 0 NA NA 
240 0 1630 1 NA NA 0 NA NA 
187 0 NA 14 NA NA 1 NA NA 
687 1 5857 6 NA 1 0 NA NA 
87 1 247 0 NA NA 0 NA NA 
93 1 332 7 NA 0 0 NA NA 
83 1 924 1 NA NA 1 NA NA 
273 1 1887 3 NA 0 1 NA NA 
597 1 11975 1 NA NA 1 NA NA 
460 0 9241 2 NA 0 1 NA NA 
60 0 104 0 NA NA 0 NA NA 
330 1 5011 2 NA 0 0 NA NA 
110 1 885 1 NA NA 1 NA NA 
187 0 3905 0 NA NA 0 NA NA 
213 1 3905 1 NA NA 1 NA NA 
480 1 3060 4 NA 0 0 NA NA 
393 1 4328 2 NA 0 1 NA NA 
310 0 1500 5 NA 0 1 NA NA 
63 1 436 0 NA NA 1 NA NA 
63 1 560 0 NA NA 1 NA NA 
367 1 879 3 NA 0 0 NA NA 
63 0 234 3 NA 0 1 NA NA 
223 1 3580 1 NA 0 1 NA NA 
80 1 NA 9 NA NA 0 NA NA 
143 1 241 0 NA NA 1 NA NA 
157 1 2200 1 NA 0 0 NA NA 
223 1 2811 0 NA NA 1 NA NA 
93 1 950 0 NA NA 1 NA NA 
503 0 4686 2 NA 0 0 NA NA 
897 0 14122 2 NA 1 0 NA NA 
310 1 729 5 NA 0 0 NA NA 
240 1 1170 5 NA 0 1 NA NA 
1430 0 NA 8 NA 1 0 NA NA 
940 1 18160 0 NA 1 0 NA NA 
123 0 566 0 NA NA 0 NA NA 
143 1 NA 20 NA NA 0 NA NA 
167 1 4120 1 NA NA 0 NA NA 
1430 0 NA 10 NA 1 0 NA NA 
493 0 3644 7 NA 1 0 NA NA 
2533 0 62997 7 NA 1 0 NA NA 
250 1 3059 0 NA NA 0 NA NA 
107 1 644 0 NA NA 1 NA NA 
1033 0 19264 0 NA 1 0 NA NA 
73 1 254 1 NA NA 1 NA NA 
897 0 NA 14 NA 1 0 NA NA 
457 1 7094 1 NA 0 0 NA NA 
360 1 2284 3 NA 0 0 NA NA 
83 1 605 1 NA NA 1 NA NA 
230 1 2877 7 NA 1 0 NA NA 
90 1 885 5 NA 0 0 NA NA 
753 0 5790 4 NA 1 0 NA NA 
57 0 267 1 NA NA 1 NA NA 
277 0 2020 2 NA 0 0 NA NA 
40 1 160 0 NA NA 1 NA NA 
103 1 722 1 NA NA 1 NA NA 
400 1 9371 5 NA 1 0 NA NA 
336 1 6508 2 NA 0 0 NA NA 
376 1 3124 5 NA 0 0 NA NA 
67 0 NA 1 NA NA 1 NA NA 
1190 1 15000 3 NA 1 0 NA NA 
250 0 4700 2 NA 0 1 NA NA 
387 1 7750 2 NA 0 1 NA NA 
97 1 612 0 NA NA 1 NA NA 
433 0 12040 4 NA 1 0 NA NA 
147 1 NA 10 NA NA 1 NA NA 
60 1 482 0 NA NA 0 NA NA 
100 1 462 1 NA NA 1 NA NA 
423 1 1630 6 NA 0 0 NA NA 
163 1 2020 1 NA NA 0 NA NA 
940 1 38000 3 NA 1 0 NA NA 
237 1 650 NA NA NA 0 NA NA 
1109 1 25380 0 NA 1 0 NA NA 
467 1 11650 2 NA 1 0 NA NA 
2000 1 20370 5 NA 1 0 NA NA 
1730 1 7810 2 NA 1 1 NA NA 
113 1 78 1 NA NA 1 NA NA 
93 1 364 NA NA NA 0 NA NA 
600 1 1300 6 NA 0 0 NA NA 
140 0 5920 1 NA NA 1 NA NA 
133 0 52 1 NA NA 0 NA NA 
630 1 26400 1 NA 1 0 NA NA 
650 1 3337 3 NA 0 1 NA NA 
506 1 3960 1 NA NA 0 NA NA 
253 1 2150 0 NA NA 0 NA NA 
2160 1 19720 7 NA 1 0 NA NA 
120 1 280 2 NA 0 1 NA NA 
1130 1 24730 5 NA 1 0 NA NA 
290 1 NA 8 NA NA 0 NA NA 
523 1 12500 2 NA 1 0 NA NA 
333 0 1757 2 NA 0 0 NA NA 
383 1 5206 1 NA NA 0 NA NA 
392 1 4600 2 NA 0 0 NA NA 
736 1 4510 0 NA 1 0 NA NA 
719 1 1430 1 NA 1 1 NA NA 
440 1 5792 4 NA 0 0 NA NA 
1730 1 10150 6 NA 1 0 NA NA 
460 1 9890 3 NA 1 0 NA NA 
